ticker,ccy,date,PX_LAST
BISBAUR Index,AUD,1996-02-29,77.15
BISBAUR Index,AUD,1996-03-31,78.77
BISBAUR Index,AUD,1996-04-30,80.53
BISBAUR Index,AUD,1996-05-31,81.87
BISBAUR Index,AUD,1996-06-30,81.71
BISBAUR Index,AUD,1996-07-31,81.34
BISBAUR Index,AUD,1996-08-31,80.18
BISBAUR Index,AUD,1996-09-30,81.26
BISBAUR Index,AUD,1996-10-31,81.42
BISBAUR Index,AUD,1996-11-30,81.42
BISBAUR Index,AUD,1996-12-31,82.13
BISBAUR Index,AUD,1997-01-31,80.96
BISBAUR Index,AUD,1997-02-28,81.23
BISBAUR Index,AUD,1997-03-31,83.75
BISBAUR Index,AUD,1997-04-30,82.68
BISBAUR Index,AUD,1997-05-31,81.05
BISBAUR Index,AUD,1997-06-30,78.36
BISBAUR Index,AUD,1997-07-31,78.04
BISBAUR Index,AUD,1997-08-31,79.33
BISBAUR Index,AUD,1997-09-30,77.66
BISBAUR Index,AUD,1997-10-31,77.78
BISBAUR Index,AUD,1997-11-30,75.82
BISBAUR Index,AUD,1997-12-31,75.63
BISBAUR Index,AUD,1998-01-31,77.41
BISBAUR Index,AUD,1998-02-28,77.82
BISBAUR Index,AUD,1998-03-31,77.16
BISBAUR Index,AUD,1998-04-30,74.93
BISBAUR Index,AUD,1998-05-31,72.95
BISBAUR Index,AUD,1998-06-30,71.5
BISBAUR Index,AUD,1998-07-31,73.26
BISBAUR Index,AUD,1998-08-31,70.3
BISBAUR Index,AUD,1998-09-30,68.13
BISBAUR Index,AUD,1998-10-31,69.05
BISBAUR Index,AUD,1998-11-30,70.98
BISBAUR Index,AUD,1998-12-31,68.84
BISBAUR Index,AUD,1999-01-31,69.9
BISBAUR Index,AUD,1999-02-28,71.75
BISBAUR Index,AUD,1999-03-31,71.7
BISBAUR Index,AUD,1999-04-30,72.85
BISBAUR Index,AUD,1999-05-31,75.49
BISBAUR Index,AUD,1999-06-30,75.39
BISBAUR Index,AUD,1999-07-31,75.72
BISBAUR Index,AUD,1999-08-31,73.34
BISBAUR Index,AUD,1999-09-30,73.33
BISBAUR Index,AUD,1999-10-31,73.13
BISBAUR Index,AUD,1999-11-30,72.12
BISBAUR Index,AUD,1999-12-31,72.51
BISBAUR Index,AUD,2000-01-31,74.66
BISBAUR Index,AUD,2000-02-29,72.47
BISBAUR Index,AUD,2000-03-31,70.02
BISBAUR Index,AUD,2000-04-30,68.53
BISBAUR Index,AUD,2000-05-31,68.17
BISBAUR Index,AUD,2000-06-30,70.22
BISBAUR Index,AUD,2000-07-31,71.2
BISBAUR Index,AUD,2000-08-31,71.64
BISBAUR Index,AUD,2000-09-30,69.06
BISBAUR Index,AUD,2000-10-31,66.46
BISBAUR Index,AUD,2000-11-30,65.79
BISBAUR Index,AUD,2000-12-31,68.33
BISBAUR Index,AUD,2001-01-31,69.53
BISBAUR Index,AUD,2001-02-28,67.54
BISBAUR Index,AUD,2001-03-31,64.8
BISBAUR Index,AUD,2001-04-30,65.15
BISBAUR Index,AUD,2001-05-31,67.63
BISBAUR Index,AUD,2001-06-30,67.99
BISBAUR Index,AUD,2001-07-31,67.19
BISBAUR Index,AUD,2001-08-31,67.66
BISBAUR Index,AUD,2001-09-30,64.96
BISBAUR Index,AUD,2001-10-31,65.69
BISBAUR Index,AUD,2001-11-30,68.09
BISBAUR Index,AUD,2001-12-31,68.36
BISBAUR Index,AUD,2002-01-31,69.39
BISBAUR Index,AUD,2002-02-28,69.24
BISBAUR Index,AUD,2002-03-31,70.37
BISBAUR Index,AUD,2002-04-30,71.29
BISBAUR Index,AUD,2002-05-31,71.93
BISBAUR Index,AUD,2002-06-30,73.23
BISBAUR Index,AUD,2002-07-31,70.24
BISBAUR Index,AUD,2002-08-31,69.35
BISBAUR Index,AUD,2002-09-30,70.06
BISBAUR Index,AUD,2002-10-31,70.84
BISBAUR Index,AUD,2002-11-30,71.52
BISBAUR Index,AUD,2002-12-31,71.64
BISBAUR Index,AUD,2003-01-31,72.94
BISBAUR Index,AUD,2003-02-28,74.25
BISBAUR Index,AUD,2003-03-31,74.98
BISBAUR Index,AUD,2003-04-30,75.66
BISBAUR Index,AUD,2003-05-31,78.54
BISBAUR Index,AUD,2003-06-30,80.58
BISBAUR Index,AUD,2003-07-31,81.08
BISBAUR Index,AUD,2003-08-31,80.27
BISBAUR Index,AUD,2003-09-30,80.6
BISBAUR Index,AUD,2003-10-31,82.72
BISBAUR Index,AUD,2003-11-30,85.34
BISBAUR Index,AUD,2003-12-31,86.68
BISBAUR Index,AUD,2004-01-31,89.33
BISBAUR Index,AUD,2004-02-29,89.98
BISBAUR Index,AUD,2004-03-31,87.7
BISBAUR Index,AUD,2004-04-30,87.12
BISBAUR Index,AUD,2004-05-31,83.56
BISBAUR Index,AUD,2004-06-30,81.67
BISBAUR Index,AUD,2004-07-31,83.84
BISBAUR Index,AUD,2004-08-31,83.54
BISBAUR Index,AUD,2004-09-30,82.36
BISBAUR Index,AUD,2004-10-31,84.97
BISBAUR Index,AUD,2004-11-30,87.58
BISBAUR Index,AUD,2004-12-31,86.34
BISBAUR Index,AUD,2005-01-31,86.66
BISBAUR Index,AUD,2005-02-28,88.25
BISBAUR Index,AUD,2005-03-31,88.23
BISBAUR Index,AUD,2005-04-30,87.59
BISBAUR Index,AUD,2005-05-31,87.29
BISBAUR Index,AUD,2005-06-30,89.11
