,Strategy,
1994-04-19 00:00:00,-0.002194644,
1994-04-20 00:00:00,-0.001709331,
1994-04-21 00:00:00,0.00124655,
1994-04-22 00:00:00,0.00277963,
1994-04-25 00:00:00,-0.003624666,
1994-04-26 00:00:00,0.000859665,
1994-04-27 00:00:00,-0.002330662,
1994-04-28 00:00:00,-0.001821196,
1994-04-29 00:00:00,-0.001529457,
1994-05-02 00:00:00,6.37733E-05,
1994-05-03 00:00:00,-0.005324298,
1994-05-04 00:00:00,0.005780572,
1994-05-05 00:00:00,0.004150029,
1994-05-06 00:00:00,-0.000686946,
1994-05-09 00:00:00,0.001461453,
1994-05-10 00:00:00,0.006986485,
1994-05-11 00:00:00,0.000615639,
1994-05-12 00:00:00,-0.00018929,
1994-05-13 00:00:00,0.001037389,
1994-05-16 00:00:00,0.000694947,
1994-05-17 00:00:00,-0.003982524,
1994-05-18 00:00:00,-0.004877142,
1994-05-19 00:00:00,0.002017324,
1994-05-20 00:00:00,-0.002472579,
1994-05-23 00:00:00,0.00020096,
1994-05-24 00:00:00,0.002796596,
1994-05-25 00:00:00,-0.003762014,
1994-05-26 00:00:00,-0.000214448,
1994-05-27 00:00:00,-0.001134986,
1994-05-30 00:00:00,3.79909E-05,
1994-05-31 00:00:00,0.001653935,
1994-06-01 00:00:00,-0.00299721,
1994-06-02 00:00:00,0.003395574,
1994-06-03 00:00:00,0.005249836,
1994-06-06 00:00:00,0.003777614,
1994-06-07 00:00:00,0.000691159,
1994-06-08 00:00:00,-0.007732922,
1994-06-09 00:00:00,0.003432862,
1994-06-10 00:00:00,-0.005431091,
1994-06-13 00:00:00,-0.004584528,
1994-06-14 00:00:00,-0.002997766,
1994-06-15 00:00:00,-0.000214575,
1994-06-16 00:00:00,-0.001955708,
1994-06-17 00:00:00,-0.004484517,
1994-06-20 00:00:00,0.000252476,
1994-06-21 00:00:00,-0.001813248,
1994-06-22 00:00:00,0.003066927,
1994-06-23 00:00:00,-0.000682121,
1994-06-24 00:00:00,-0.006976521,
1994-06-27 00:00:00,-0.002876863,
1994-06-28 00:00:00,0.001120358,
1994-06-29 00:00:00,-0.003153608,
1994-06-30 00:00:00,-0.000190163,
1994-07-01 00:00:00,-4.29513E-05,
1994-07-04 00:00:00,0.001606292,
1994-07-05 00:00:00,-0.002886249,
1994-07-06 00:00:00,-0.002569197,
1994-07-07 00:00:00,0.0020857,
1994-07-08 00:00:00,-0.003154872,
1994-07-11 00:00:00,-0.004768175,
1994-07-12 00:00:00,-0.00144389,
1994-07-13 00:00:00,0.006976955,
1994-07-14 00:00:00,0.002280157,
1994-07-15 00:00:00,-1.23591E-06,
1994-07-18 00:00:00,-0.000629782,
1994-07-19 00:00:00,0.005646298,
1994-07-20 00:00:00,-0.002230119,
1994-07-21 00:00:00,0.002541726,
1994-07-22 00:00:00,0.001631366,
1994-07-25 00:00:00,0.002501405,
1994-07-26 00:00:00,-0.001643431,
1994-07-27 00:00:00,-0.00092652,
1994-07-28 00:00:00,0.002324045,
1994-07-29 00:00:00,0.00457661,
1994-08-01 00:00:00,-0.004804157,
1994-08-02 00:00:00,0.004056129,
1994-08-03 00:00:00,8.80166E-05,
1994-08-04 00:00:00,0.00148947,
1994-08-05 00:00:00,0.000899151,
1994-08-08 00:00:00,0.00483057,
1994-08-09 00:00:00,-0.001720841,
1994-08-10 00:00:00,-0.001005222,
1994-08-11 00:00:00,-0.003301629,
1994-08-12 00:00:00,-0.002539191,
1994-08-15 00:00:00,0.000981883,
1994-08-16 00:00:00,-0.003053745,
1994-08-17 00:00:00,-0.000523482,
1994-08-18 00:00:00,-0.002316399,
1994-08-19 00:00:00,-8.8638E-06,
1994-08-22 00:00:00,0.002763325,
1994-08-23 00:00:00,0.003443008,
1994-08-24 00:00:00,0.002963209,
1994-08-25 00:00:00,0.004887696,
1994-08-26 00:00:00,0.002110528,
1994-08-29 00:00:00,0.000909115,
1994-08-30 00:00:00,-0.00510567,
1994-08-31 00:00:00,0.001954195,
1994-09-01 00:00:00,0.002021951,
1994-09-02 00:00:00,-0.002441624,
1994-09-05 00:00:00,-0.00177971,
1994-09-06 00:00:00,-0.001549477,
1994-09-07 00:00:00,0.004135951,
1994-09-08 00:00:00,-0.000388446,
1994-09-09 00:00:00,0.001386854,
1994-09-12 00:00:00,0.004213689,
1994-09-13 00:00:00,0.000177135,
1994-09-14 00:00:00,-0.002026034,
1994-09-15 00:00:00,0.003170447,
1994-09-16 00:00:00,0.00108839,
1994-09-19 00:00:00,0.000266945,
1994-09-20 00:00:00,-0.00340307,
1994-09-21 00:00:00,-0.002795285,
1994-09-22 00:00:00,0.000765163,
1994-09-23 00:00:00,0.000434505,
1994-09-26 00:00:00,0.00454237,
1994-09-27 00:00:00,-0.002244377,
1994-09-28 00:00:00,0.001670672,
1994-09-29 00:00:00,0.000848257,
1994-09-30 00:00:00,0.000972007,
1994-10-03 00:00:00,0.004355081,
1994-10-04 00:00:00,0.000459279,
1994-10-05 00:00:00,-0.001572427,
1994-10-06 00:00:00,0.002540014,
1994-10-07 00:00:00,0.001959433,
1994-10-10 00:00:00,0.001731987,
1994-10-11 00:00:00,-0.001110156,
1994-10-12 00:00:00,-0.00194093,
1994-10-13 00:00:00,6.98629E-05,
1994-10-14 00:00:00,-0.006918212,
1994-10-17 00:00:00,-0.001320736,
1994-10-18 00:00:00,0.000656696,
1994-10-19 00:00:00,-0.00146713,
1994-10-20 00:00:00,0.000998523,
1994-10-21 00:00:00,-0.000614836,
1994-10-24 00:00:00,0.001817223,
1994-10-25 00:00:00,-0.00024434,
1994-10-26 00:00:00,0.003349384,
1994-10-27 00:00:00,0.001913487,
1994-10-28 00:00:00,0.000801629,
1994-10-31 00:00:00,-0.001792486,
1994-11-01 00:00:00,-0.001857582,
1994-11-02 00:00:00,0.001323383,
1994-11-03 00:00:00,0.004762473,
1994-11-04 00:00:00,0.003095246,
1994-11-07 00:00:00,0.002201407,
1994-11-08 00:00:00,0.001501462,
1994-11-09 00:00:00,0.000530206,
1994-11-10 00:00:00,0.00061876,
1994-11-11 00:00:00,-0.000408241,
1994-11-14 00:00:00,0.003969604,
1994-11-15 00:00:00,-0.000220279,
1994-11-16 00:00:00,-0.000115287,
1994-11-17 00:00:00,0.000388885,
1994-11-18 00:00:00,0.005167637,
1994-11-21 00:00:00,0.002121965,
1994-11-22 00:00:00,-0.000435474,
1994-11-23 00:00:00,0.00040424,
1994-11-24 00:00:00,-0.000788547,
1994-11-25 00:00:00,9.21409E-05,
