,AUDCAD,AUDCHF,AUDJPY,AUDNOK,AUDNZD,AUDSEK,AUDUSD,CADCHF,CADJPY,CADNOK,CADSEK,CHFJPY,CHFNOK,CHFSEK,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNOK,EURNZD,EURSEK,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNOK,GBPNZD,GBPSEK,GBPUSD,NOKJPY,NOKSEK,NZDCAD,NZDCHF,NZDJPY,NZDNOK,NZDSEK,NZDUSD,SEKJPY,USDCAD,USDCHF,USDJPY,USDNOK,USDSEK,
1992-02-14,0.001818481,0.009233121,-0.001131561,0.005549703,0.000387635,0.002096512,0.000474586,0.007414343,-0.002951059,0.003733469,0.000282062,-0.010375435,-0.003672966,-0.007119429,-0.003386521,-0.001566496,0.005856699,-0.000210916,-0.004522067,0.002173495,-0.002999008,-0.001280636,-0.002916341,-0.003175932,-0.001355502,0.006069163,-0.004311496,0.002384887,-0.002788298,-0.001070166,-0.002705274,-0.00670241,-0.003453509,0.001430645,0.008844237,-0.001519222,0.00516185,0.001709499,8.6434E-05,-0.003241134,0.001342603,0.008746667,-0.001603516,0.005069125,0.001621311,
1992-02-17,0.000530271,-0.007556946,-0.007657911,-0.003141347,-0.001643487,-0.003041154,-0.000464767,-0.008086407,-0.008187809,-0.003670698,-0.003570183,-9.46358E-05,0.004409387,0.004504844,0.003732129,0.004263144,-0.003831763,-9.69364E-05,-0.003929674,0.000584178,0.00208774,0.000682141,0.003271255,0.003829789,0.0043609,-0.003735384,-0.003833225,0.00068122,0.00218514,0.000779144,0.003368942,-0.004516019,9.83592E-05,0.00217342,-0.005913194,-0.006012778,-0.001499664,-0.001400515,0.00118028,-0.004617556,0.000993333,-0.007084527,-0.007185026,-0.002674613,-0.002574853,
1992-02-18,0.001898506,0.018653605,0.008283601,0.014751617,0.001307718,0.014920441,0.000474222,0.016754262,0.006383611,0.012854057,0.013023937,-0.010385765,-0.003887705,-0.003708225,-0.016203319,-0.014304587,0.002467032,-0.003303351,-0.007923202,-0.001424958,-0.014896453,-0.001246768,-0.015746109,-0.012898894,-0.01099962,0.005773763,-0.00461551,0.001878565,-0.011591449,0.002054895,-0.012438058,-0.006497376,0.000177449,0.00059077,0.017344267,0.006974453,0.013443736,0.013613274,-0.000834637,-0.006679128,0.001423185,0.01816072,0.007801304,0.014263062,0.014431932,
1992-02-19,0.002877041,0.001344572,0.007565093,0.002201579,0.004395141,0.001730676,0.004485285,-0.001531767,0.00468635,-0.000672732,-0.001142107,0.006220446,0.000858111,0.000387848,-0.003104399,-0.000225582,-0.001758457,0.001198827,0.004464187,-0.000898559,0.00129346,-0.001368144,0.001380946,-0.004304831,-0.001425696,-0.002958534,0.003264142,-0.002097635,9.35156E-05,-0.002566654,0.000179971,0.00536492,-0.000470127,-0.001517792,-0.003049191,0.003167667,-0.002189082,-0.002657649,8.63594E-05,0.005838893,-0.001602749,-0.003132818,0.00307866,-0.002273438,-0.002741587,
1992-02-20,-0.005970602,0.00099951,-4.22142E-05,-0.001662896,-0.006642793,-0.001760656,-0.00194842,0.006968769,0.00593101,0.004302672,0.004202082,-0.001042495,-0.002662221,-0.002759551,0.004545528,-0.001428693,0.005544919,0.004015406,0.004505502,0.002878122,-0.002100979,0.002778208,0.002599781,0.000527181,-0.005447936,0.001527315,0.000485151,-0.0011373,-0.00612055,-0.001235338,-0.001422315,0.001623945,-9.85732E-05,0.00067172,0.007639945,0.006602641,0.004973633,0.004872766,0.004699093,0.001723393,-0.004020332,0.002943324,0.001903783,0.000281888,0.00018325,
1992-02-21,-0.004155439,-0.000740231,-0.002882195,-0.001911373,-0.002217839,-0.002200797,-0.003980697,0.003414423,0.001275047,0.002241007,0.001949855,-0.002141814,-0.001171701,-0.001461464,0.000197581,-0.00396016,-0.000543073,-0.002815362,-0.002686123,-0.001714918,-0.002021479,-0.002004543,-0.003785247,0.003015131,-0.001142986,0.00227401,0.000132435,0.001100488,0.000796061,0.000809666,-0.000965967,-0.000969362,-0.00029037,-0.001937563,0.001476991,-0.000663442,0.000304706,1.43741E-05,-0.001761167,-0.000678907,-0.000177683,0.003234201,0.001096339,0.002061677,0.001770757,
1992-02-24,0.000585801,-0.00536337,0.00025908,-0.002194102,0.000162202,-0.003380448,-0.002343173,-0.005949011,-0.000326868,-0.002779606,-0.003965786,0.005624906,0.003167742,0.001979935,0.004356792,0.004942858,-0.001008751,0.00061596,0.004617039,0.002160335,0.004519241,0.000972612,0.002014593,0.00374078,0.004326874,-0.00162507,0.004000826,0.001544495,0.003903201,0.000356885,0.001398058,0.002455232,-0.00118722,0.000423579,-0.005525276,9.68579E-05,-0.002356151,-0.003542419,-0.002505272,0.003644069,0.002926035,-0.003020597,0.002600375,0.000146001,-0.001040622,
1992-02-25,0.00087566,0.001279749,0.005852594,-0.005742467,0.001030915,-0.005755035,0.002051832,0.000404153,0.004976728,-0.006617859,-0.006630277,0.004572804,-0.007022455,-0.007034766,0.000545019,0.001420893,0.001825077,0.000131201,0.006399332,-0.005199114,0.001576259,-0.005211698,0.002597493,0.000413775,0.001289691,0.001693914,0.006268369,-0.005330609,0.001445066,-0.005343148,0.002466284,0.011602342,-1.35741E-05,-0.000155179,0.000248976,0.00482119,-0.006772571,-0.006784933,0.001020513,0.011617904,-0.001175072,-0.00077101,0.003799411,-0.007790112,-0.007802403,
1992-02-26,-0.00930093,-0.001318313,-0.004723505,0.002583657,-0.005314537,0.002430102,-0.005233078,0.007981944,0.004579255,0.011882187,0.011727283,-0.003405093,0.003902027,0.003748278,0.001451644,-0.007851223,0.000132965,-0.000243948,-0.003272654,0.004035593,-0.003863957,0.003881871,-0.003782244,0.001695697,-0.007607556,0.000376949,-0.003028769,0.004279717,-0.003620119,0.004125968,-0.003538366,-0.007310534,-0.000153125,-0.003986453,0.003995445,0.00059185,0.007896241,0.007741905,8.28032E-05,-0.007158573,-0.004068393,0.003911507,0.000508871,0.007811208,0.007656831,
1992-02-27,0.005986853,0.002789705,0.005202379,0.005353297,-0.003275183,0.005525489,0.006932076,-0.003196858,-0.000785257,-0.000632521,-0.000459748,0.002412239,0.002564099,0.002736598,-0.002400405,0.003587317,0.000389858,-0.000790323,0.002802319,0.002954213,-0.005676152,0.003126734,0.004532072,-0.001610027,0.004377819,0.001180268,0.003592873,0.00374461,-0.004885827,0.003917084,0.005322694,-0.000152886,0.000172842,0.009261686,0.00606446,0.008477682,0.008627555,0.008799408,0.010207543,-0.000326063,-0.000943931,-0.004140178,-0.001729008,-0.001576365,-0.001403647,
